h3_cell,total_crimes_in_cell,violent_crimes_in_cell,cell_violent_rate,neighbour_avg_crimes
882664523bfffff,151,30.0,0.1986754966887417,97.5
882664523dfffff,76,10.0,0.13157894736842105,101.83333333333333
8826645251fffff,177,45.0,0.2542372881355932,145.83333333333334
8826645253fffff,61,5.0,0.08196721311475409,218.66666666666666
8826645255fffff,35,5.0,0.14285714285714285,101.66666666666667
8826645257fffff,178,32.0,0.1797752808988764,78.33333333333333
8826645259fffff,253,72.0,0.2845849802371542,142.83333333333334
882664525bfffff,260,72.0,0.27692307692307694,216.0
882664525dfffff,88,13.0,0.14772727272727273,90.16666666666667
8826645281fffff,31,6.0,0.1935483870967742,47.166666666666664
8826645283fffff,50,16.0,0.32,32.166666666666664
8826645289fffff,142,34.0,0.23943661971830985,102.66666666666667
882664528bfffff,91,21.0,0.23076923076923078,94.66666666666667
8826645299fffff,47,7.0,0.14893617021276595,57.666666666666664
882664529dfffff,71,17.0,0.23943661971830985,55.333333333333336
88266452c1fffff,3,1.0,0.3333333333333333,107.5
88266452c3fffff,80,17.0,0.2125,120.5
88266452c7fffff,284,41.0,0.1443661971830986,37.5
88266452c9fffff,147,29.0,0.19727891156462585,139.66666666666666
88266452cbfffff,62,19.0,0.3064516129032258,114.66666666666667
88266452cdfffff,72,15.0,0.20833333333333334,86.83333333333333
88266452d1fffff,204,63.0,0.3088235294117647,152.83333333333334
88266452d3fffff,113,26.0,0.23008849557522124,133.16666666666666
88266452d5fffff,130,36.0,0.27692307692307694,127.16666666666667
88266452d7fffff,144,34.0,0.2361111111111111,109.33333333333333
88266452d9fffff,172,48.0,0.27906976744186046,161.66666666666666
88266452dbfffff,256,79.0,0.30859375,158.0
88266452ddfffff,102,26.0,0.2549019607843137,136.5
8826645601fffff,331,118.0,0.3564954682779456,402.0
8826645603fffff,405,136.0,0.3358024691358025,331.3333333333333
8826645605fffff,385,125.0,0.3246753246753247,272.3333333333333
8826645607fffff,406,138.0,0.3399014778325123,283.6666666666667
8826645609fffff,586,228.0,0.3890784982935154,375.1666666666667
882664560bfffff,392,141.0,0.3596938775510204,371.3333333333333
882664560dfffff,238,83.0,0.3487394957983193,343.5
8826645613fffff,191,80.0,0.418848167539267,171.66666666666666
8826645615fffff,198,48.0,0.24242424242424243,207.0
8826645617fffff,59,15.0,0.2542372881355932,145.66666666666666
8826645619fffff,2,0.0,0.0,74.16666666666667
882664561dfffff,366,146.0,0.3989071038251366,179.0
8826645621fffff,276,65.0,0.23550724637681159,150.5
8826645623fffff,97,34.0,0.35051546391752575,95.33333333333333
8826645625fffff,126,36.0,0.2857142857142857,122.0
8826645627fffff,10,1.0,0.1,89.66666666666667
8826645629fffff,292,91.0,0.3116438356164384,259.1666666666667
882664562bfffff,137,43.0,0.31386861313868614,267.5
882664562dfffff,241,90.0,0.37344398340248963,203.33333333333334
8826645631fffff,209,59.0,0.2822966507177033,111.16666666666667
8826645633fffff,70,16.0,0.22857142857142856,60.333333333333336
8826645637fffff,36,6.0,0.16666666666666666,46.5
8826645639fffff,295,98.0,0.33220338983050846,247.33333333333334
882664563bfffff,117,33.0,0.28205128205128205,138.5
882664563dfffff,149,41.0,0.2751677852348993,190.66666666666666
8826645641fffff,569,194.0,0.3409490333919156,356.5
8826645643fffff,510,159.0,0.31176470588235294,445.8333333333333
8826645645fffff,236,66.0,0.2796610169491525,365.0
8826645647fffff,317,106.0,0.334384858044164,391.8333333333333
8826645649fffff,320,94.0,0.29375,335.3333333333333
882664564bfffff,374,101.0,0.2700534759358289,366.6666666666667
882664564dfffff,382,125.0,0.32722513089005234,357.3333333333333
8826645651fffff,95,31.0,0.3263157894736842,182.16666666666666
8826645653fffff,1,0.0,0.0,29.166666666666668
8826645655fffff,463,167.0,0.36069114470842334,337.6666666666667
8826645657fffff,77,23.0,0.2987012987012987,219.83333333333334
8826645659fffff,186,32.0,0.17204301075268819,111.16666666666667
882664565dfffff,366,137.0,0.3743169398907104,302.1666666666667
8826645661fffff,142,41.0,0.2887323943661972,231.5
8826645663fffff,230,61.0,0.26521739130434785,259.1666666666667
8826645665fffff,132,35.0,0.26515151515151514,137.16666666666666
8826645667fffff,286,88.0,0.3076923076923077,192.33333333333334
8826645669fffff,393,124.0,0.3155216284987277,203.16666666666666
882664566bfffff,212,61.0,0.28773584905660377,259.3333333333333
882664566dfffff,136,48.0,0.35294117647058826,173.66666666666666
88266456c1fffff,36,19.0,0.5277777777777778,102.0
88266456c5fffff,381,170.0,0.4461942257217848,138.5
88266456c7fffff,2,0.0,0.0,71.5
88266456c9fffff,6,1.0,0.16666666666666666,43.5
88266456cbfffff,1,0.0,0.0,7.166666666666667
88266456cdfffff,222,97.0,0.4369369369369369,102.5
88266456e1fffff,26,16.0,0.6153846153846154,64.5
88266456e3fffff,7,1.0,0.14285714285714285,6.333333333333333
88266456e9fffff,368,129.0,0.35054347826086957,111.5
88266456ebfffff,12,7.0,0.5833333333333334,130.66666666666666
8826645701fffff,71,27.0,0.38028169014084506,51.833333333333336
8826645703fffff,34,4.0,0.11764705882352941,42.5
8826645705fffff,8,2.0,0.25,29.666666666666668
8826645707fffff,64,14.0,0.21875,19.333333333333332
8826645709fffff,51,13.0,0.2549019607843137,58.166666666666664
882664570bfffff,119,32.0,0.2689075630252101,42.5
882664570dfffff,35,3.0,0.08571428571428572,30.5
8826645719fffff,43,8.0,0.18604651162790697,57.0
882664571bfffff,39,7.0,0.1794871794871795,29.833333333333332
882664571dfffff,1,0.0,0.0,41.5
8826645721fffff,1,1.0,1.0,1.3333333333333333
8826645729fffff,5,2.0,0.4,2.0
882664572bfffff,3,0.0,0.0,13.0
8826645743fffff,60,17.0,0.2833333333333333,31.333333333333332
